30_01_2022_10_44_32,AddNewNode,2,1.296875
30_01_2022_10_44_32,AddNewNode,3,1.890625
30_01_2022_10_44_32,AddNewNode,4,1.65625
30_01_2022_10_44_32,AddNewNode,5,1.515625
30_01_2022_10_44_32,Insert,5,2.921875
30_01_2022_10_44_32,Lookup,5,0.703125
30_01_2022_10_44_32,Update,5,2.703125
30_01_2022_10_44_32,Delete,5,2.0
30_01_2022_10_44_32,AddNewNode,6,4.421875
30_01_2022_10_44_32,Leave,5,7.4375
30_01_2022_11_00_53,AddNewNode,2,1.375
30_01_2022_11_00_53,AddNewNode,3,2.859375
30_01_2022_11_00_53,AddNewNode,4,1.46875
30_01_2022_11_00_53,AddNewNode,5,1.359375
30_01_2022_11_02_22,AddNewNode,2,1.625
30_01_2022_11_02_22,AddNewNode,3,1.34375
30_01_2022_11_02_22,AddNewNode,4,2.03125
30_01_2022_11_02_22,AddNewNode,5,1.5
30_01_2022_11_02_22,Insert,5,2.78125
30_01_2022_11_02_22,Lookup,5,3.296875
30_01_2022_11_02_22,Update,5,3.109375
30_01_2022_11_02_22,Delete,5,2.40625
30_01_2022_11_02_22,AddNewNode,6,5.265625
30_01_2022_11_02_22,Leave,5,5.703125
30_01_2022_11_07_08,AddNewNode,2,1.40625
30_01_2022_11_07_08,AddNewNode,3,2.78125
30_01_2022_11_07_08,AddNewNode,4,1.578125
30_01_2022_11_07_08,AddNewNode,5,2.375
30_01_2022_11_15_12,AddNewNode,2,1.46875
30_01_2022_11_15_12,AddNewNode,3,1.265625
30_01_2022_11_15_12,AddNewNode,4,1.59375
30_01_2022_11_15_12,AddNewNode,5,1.390625
30_01_2022_11_15_12,Insert,5,1.921875
30_01_2022_11_15_12,Lookup,5,2.0
30_01_2022_11_15_12,Update,5,2.015625
30_01_2022_11_15_12,Delete,5,2.28125
30_01_2022_11_15_12,AddNewNode,6,4.265625
30_01_2022_11_15_12,Leave,5,7.734375
30_01_2022_11_26_43,AddNewNode,2,1.453125
30_01_2022_11_26_43,AddNewNode,3,2.984375
30_01_2022_11_26_43,AddNewNode,4,1.734375
30_01_2022_11_26_43,AddNewNode,5,1.4375
30_01_2022_11_28_27,AddNewNode,2,1.328125
30_01_2022_11_28_27,AddNewNode,3,1.609375
30_01_2022_11_28_27,AddNewNode,4,1.4375
30_01_2022_11_28_27,AddNewNode,5,1.796875
30_01_2022_11_28_27,Insert,5,0.0
30_01_2022_11_28_27,Lookup,5,2.890625
30_01_2022_11_28_27,Update,5,2.21875
30_01_2022_11_28_27,Delete,5,4.125
30_01_2022_11_28_27,AddNewNode,6,9.34375
30_01_2022_11_28_27,Leave,5,4.890625
30_01_2022_11_30_42,AddNewNode,2,1.375
30_01_2022_11_30_42,AddNewNode,3,1.390625
30_01_2022_11_30_42,AddNewNode,4,1.5625
30_01_2022_11_30_42,AddNewNode,5,1.5625
30_01_2022_11_30_42,AddNewNode,6,4.53125
30_01_2022_11_30_42,AddNewNode,7,2.359375
30_01_2022_11_30_42,AddNewNode,8,7.390625
30_01_2022_11_30_42,AddNewNode,9,6.453125
30_01_2022_11_30_42,AddNewNode,10,10.921875
30_01_2022_11_30_42,Insert,10,13.953125
30_01_2022_11_30_42,Lookup,10,8.484375
30_01_2022_11_30_42,Update,10,13.21875
30_01_2022_11_30_42,Delete,10,10.984375
30_01_2022_11_30_42,Leave,10,10.984375
30_01_2022_11_36_07,AddNewNode,2,1.34375
30_01_2022_11_36_07,AddNewNode,3,1.640625
30_01_2022_11_36_07,Insert,3,1.859375
30_01_2022_11_36_07,Lookup,3,2.671875
30_01_2022_11_36_07,Update,3,1.246523
30_01_2022_11_36_07,Delete,3,1.96875
30_01_2022_11_36_07,AddNewNode,4,1.296875
30_01_2022_11_36_07,Leave,3,6.359375
30_01_2022_11_37_19,AddNewNode,2,1.40625
30_01_2022_11_37_19,AddNewNode,3,3.296875
30_01_2022_11_37_19,AddNewNode,4,1.640625
30_01_2022_11_37_19,AddNewNode,5,1.953125
30_01_2022_11_37_19,AddNewNode,6,4.921875
30_01_2022_11_37_19,AddNewNode,7,2.078125
30_01_2022_11_37_19,AddNewNode,8,16.0
30_01_2022_11_37_19,Insert,8,6.09375
30_01_2022_11_37_19,Lookup,8,4.765625
30_01_2022_11_37_19,Update,8,7.046875
30_01_2022_11_37_19,Delete,8,6.0
30_01_2022_11_37_19,AddNewNode,9,7.75
